t-SNE Dimension 1,t-SNE Dimension 2
-1.2478839,-36.814087
4.033448,-39.362118
8.359571,-30.326172
2.035249,-41.99738
4.3419228,-37.936684
11.541714,-24.3367
19.90132,-23.536364
-8.016996,-37.401
11.693953,-23.326569
-8.629123,-37.149727
8.295203,-33.65448
19.13683,-24.286762
4.601189,-36.66183
4.159994,-36.157417
7.4758177,-35.553715
9.003857,-24.077105
15.788322,-25.83849
14.6255865,-18.51246
13.677629,-25.281315
-1.4468086,-24.061384
-2.6208634,-37.79819
9.769505,-33.379738
13.587771,-17.316551
12.477254,-16.410202
3.219162,-42.085026
-6.1287265,-32.90846
-9.164643,-37.189533
12.837712,-16.684862
-5.2821484,-30.95695
8.619999,-23.644903
-7.1751685,-31.771906
4.0565524,-37.449005
4.6831694,-20.852255
18.946201,-21.579424
-3.4091954,-36.81169
14.988651,-18.084202
-8.632499,-36.5778
15.951121,-23.46869
4.3371015,-20.764835
3.7284915,-20.768435
6.071995,-18.441448
19.901447,-24.652525
14.816192,-21.61597
2.9116979,-26.977545
-0.7094202,-25.194117
17.706799,-27.916193
14.604494,-18.145847
15.981062,-22.758432
7.777245,-34.138077
11.620308,-23.8142
8.425239,-30.137077
4.0187125,-39.57463
-8.067323,-31.5742
8.447988,-24.23336
-3.4261694,-36.863888
13.96191,-26.108942
8.316436,-39.13614
8.6285515,-29.195963
-0.5300717,-24.988905
12.738555,-16.58559
-6.058956,-32.478695
6.35939,-21.745054
6.293001,-35.30573
-0.2086487,-40.50711
7.390551,-34.86935
16.686323,-22.643015
7.924604,-37.256832
3.0083153,-26.973566
0.021285055,-41.121662
-0.6884701,-23.843546
-5.7857113,-31.743984
17.95851,-24.396437
18.865025,-26.782244
-1.3862342,-37.362194
8.288184,-39.4886
20.142324,-23.373398
2.8142533,-42.165504
4.612017,-20.761208
0.028544033,-41.04814
16.267635,-24.13042
0.4812923,-41.767757
7.7010546,-22.764793
-5.5996976,-33.624386
-7.328967,-31.735243
-1.4338547,-24.788258
-2.3432136,-25.829634
9.754685,-33.37502
79.15057,-21.564726
64.31166,-38.01726
71.03933,-25.694378
74.66481,-43.312977
77.03084,-24.555952
76.65075,-26.848766
65.31922,-49.120014
60.881184,-43.64646
58.505722,-39.205242
56.464367,-40.461185
65.85216,-49.026745
65.56539,-49.187458
66.63062,-45.37931
80.556595,-27.583126
80.07316,-20.428354
80.02218,-20.351805
71.65613,-26.133398
70.00494,-28.604776
19.493822,-20.997375
65.35671,-51.219643
67.09821,-50.72602
63.725964,-37.79555
69.89632,-42.797802
61.640114,-44.53254
56.749744,-40.44959
71.337395,-38.89485
70.890335,-27.317099
64.501854,-51.088066
75.93052,-42.416733
63.040306,-46.67761
80.41438,-25.892576
61.803577,-44.744526
65.76978,-51.19971
76.67981,-46.67756
69.55598,-42.062214
72.08544,-23.57869
76.31664,-39.58145
64.70025,-36.379326
69.881714,-26.468067
56.555656,-26.265837
63.490135,-40.089054
71.63204,-38.504215
72.8514,-26.126797
67.739136,-39.627937
68.212364,-31.284609
71.9462,-36.43819
76.791916,-48.341854
69.4411,-30.368946
69.346245,-30.088236
76.90257,-36.84672
69.01295,-44.241882
57.847397,-39.693554
64.29226,-38.021027
80.046074,-27.113539
64.591225,-46.838978
75.38708,-47.80445
78.53128,-20.416298
76.45808,-39.381947
77.37875,-34.957672
79.23188,-28.930452
79.99977,-27.028915
76.79329,-42.890923
71.874306,-36.11459
76.99737,-36.507282
63.93657,-46.648396
69.74083,-42.61445
74.41977,-25.845926
77.396576,-34.866478
69.63789,-43.73621
76.88502,-36.51103
74.44253,-28.27609
67.65855,-39.557327
64.27338,-37.396523
70.98371,-26.926014
71.92014,-37.073658
66.202034,-45.25584
76.35634,-47.093678
69.70699,-29.217262
65.949875,-50.366795
78.67315,-21.501049
63.56781,-39.78354
59.660126,-42.540855
75.84705,-42.136387
74.430984,-47.905724
73.00875,-25.998724
74.305435,-28.155247
79.48592,-28.11443
72.019714,-23.744715
74.17977,-43.36575
75.606575,-47.718178
79.43683,-25.899603
62.750694,-46.822163
67.402664,-45.21986
59.58358,-42.471565
76.63069,-24.94192
23.737263,-28.965656
76.22168,-47.480587
56.979084,-40.359325
76.69045,-26.5229
79.38646,-21.314804
-17.032627,22.238825
-19.015413,13.935584
-23.316002,17.56454
-42.378784,8.830697
-17.585068,22.612043
-38.446095,10.903883
-32.01553,14.638014
-23.326075,21.881435
-32.196354,16.974371
-22.725515,6.236235
-25.345343,5.010394
-25.145681,4.6398335
-38.05897,0.31810057
-20.297544,20.976696
-37.71557,10.8036785
-27.294985,11.676128
-30.206707,16.097023
-26.816313,12.822236
-18.814774,13.934243
-30.159586,14.346922
-21.230955,4.8072143
-45.015697,9.25029
-31.692242,13.76273
-19.289322,13.452693
-26.803673,20.384584
-15.860879,20.148184
-18.60987,17.843853
-27.161016,2.3123443
-18.08029,19.245102
-35.64357,3.9548228
-29.099823,13.794999
-39.6631,7.352012
-31.561989,14.128792
-34.208256,11.331391
-23.137785,20.4245
-34.42192,11.366371
-16.29121,20.494648
-43.30085,8.415078
-20.652481,21.541683
-28.379818,10.984193
-44.450188,10.678172
-23.189823,22.462032
-17.41624,20.315485
-42.216618,9.867384
-38.273758,0.66507214
-22.171425,21.386148
-36.268253,10.751025
-16.51773,21.74564
-33.817226,12.965641
-18.426857,14.599714
-25.902946,2.888626
-36.707626,10.252348
-26.852259,2.3003275
-22.312912,4.726608
-17.835379,12.342351
-37.819912,11.031238
-23.27565,17.560673
-23.12139,15.746285
-18.653444,18.388416
-17.06229,11.613853
-20.106382,22.655266
-31.39373,13.018601
-33.91398,12.0357685
-26.836699,20.322569
-39.25558,1.4085929
-25.83281,3.1034482
-17.748104,20.743542
-44.92639,9.866772
-29.86971,16.352152
-36.957825,3.8793778
-38.01001,0.36359626
-35.83719,3.6556916
-32.797752,15.792728
-23.19155,17.20622
-23.065136,4.415886
-17.32905,10.986739
-24.995066,1.8025202
-22.356697,5.7017903
-35.749123,2.2965858
-40.10315,5.4735837
-21.734198,4.7051435
-23.041061,21.194988
-35.815678,2.6955721
-24.1749,4.364826
-32.115894,16.751617
-43.25053,9.772647
-24.735989,1.6887077
-20.949255,4.720895
-40.101738,5.5812
-20.436117,22.273975
-19.727278,12.926564
-38.47317,10.553387
-38.979153,1.1301562
-44.191097,10.786041
-41.304184,11.026441
-39.584034,7.403697
-17.693521,12.357939
-27.058542,12.540984
-43.09678,9.204134
-24.602121,21.605545
23.184008,46.688034
33.663715,68.749176
33.768845,69.54157
28.759405,43.60031
34.585377,42.583645
42.766705,42.95185
24.614365,45.37155
31.19807,63.899467
33.918358,71.80139
29.282604,58.987213
28.044926,63.920876
32.118618,63.476967
39.40176,53.35272
31.616713,63.60883
42.350636,37.99127
29.4408,43.15674
43.22465,39.135826
25.84971,71.47527
32.21651,54.41178
28.553688,75.921036
29.680399,76.85135
29.173717,59.078815
28.070768,50.16854
34.034027,42.768497
26.688833,74.14241
30.009764,45.787807
25.755413,55.608963
25.382374,56.133877
29.6778,64.79002
40.354916,44.431747
42.901386,43.18097
26.460379,47.462917
40.67521,53.658268
32.325092,53.7672
40.660328,42.924282
25.5193,55.747723
26.840353,74.09661
27.061552,73.62549
39.303013,53.86486
44.71432,43.679985
41.722595,38.175926
40.07522,53.33834
33.885902,71.31825
35.981014,51.918358
33.87212,70.88624
34.566948,42.588314
38.51615,55.028362
44.577904,43.578438
42.29167,38.011032
29.054962,76.45102
26.19294,53.675934
27.511684,62.5465
36.845432,52.535717
38.79205,47.145397
38.79348,51.234863
38.384155,55.121452
42.373474,38.478516
36.85458,52.94662
30.899162,44.556812
28.391516,75.714386
25.955181,74.872765
38.48491,51.2425
38.592575,49.232292
40.894794,44.221455
40.740223,43.95125
35.946865,52.056473
32.762928,53.53606
29.867146,46.06143
44.628693,43.643867
29.117868,76.61485
26.059706,53.802692
33.957775,71.93128
26.973778,48.680046
30.859278,63.951107
39.03746,51.843567
26.701658,48.005463
24.658388,45.536182
25.137552,46.448685
28.122698,64.068886
34.093212,67.45325
34.467968,67.531044
30.794626,44.5312
25.316126,45.22802
24.085741,46.990593
26.412256,53.284176
27.445284,51.88253
27.825123,51.668564
41.864864,43.519985
31.97686,53.4606
29.6245,64.73729
25.939482,70.95213
24.100775,47.164505
25.901937,71.14158
34.914482,68.15502
41.3731,38.939247
32.58774,67.13989
38.807312,47.191612
26.597616,55.444393
